path,size_bytes,file_count
./.venv/lib/python3.13/site-packages/click/__pycache__,401408,12
./.venv/lib/python3.13/site-packages/torch/__pycache__,2367488,40
./.venv/lib/python3.13/site-packages/iniconfig/__pycache__,24576,3
./.venv/lib/python3.13/site-packages/typing_inspection/__pycache__,45056,3
./.venv/lib/python3.13/site-packages/socketio/__pycache__,401408,28
./.venv/lib/python3.13/site-packages/sentencepiece/__pycache__,77824,2
./.venv/lib/python3.13/site-packages/sklearn/__pycache__,86016,5
./.venv/lib/python3.13/site-packages/httpx/__pycache__,339968,17
./.venv/lib/python3.13/site-packages/joblib/__pycache__,385024,20
./.venv/lib/python3.13/site-packages/certifi/__pycache__,8192,2
